feature,rank,other_feature,corr
S_SVO,1,S_PRONOMIAL_SUBJ_OBLIG_PRON_WORDS,0.1875
S_SVO,2,S_APPLICATIVE_CONSTRUCTION,0.1875
S_SVO,3,S_INCL_EXCL_DIST,0.1875
S_SVO,4,S_BODY_PART_SUBJ,0.1875
S_SVO,5,S_DUAL_UNIT_PRON,0.1875
S_SOV,1,S_FINGER_TOE_DIST,0.1875
S_SOV,2,S_HEAR_SMELL_DIST,0.1875
S_SOV,3,S_BODY_HAIR_FEATHER_DIST,0.1875
S_SOV,4,S_AOV,0.1875
S_SOV,5,S_OVA,0.1875
S_VSO,1,S_OthTR,0.1875
S_VSO,2,S_VRT,0.1875
S_VSO,3,S_INTERNALLY_HEADED_RELATIVE,0.1875
S_VSO,4,M_COMP_STAN_MARK,0.1875
S_VSO,5,S_EXISTENTIAL_VERB,0.1875
S_VOS,1,M_PROD_PLURAL_MARK,0.1875
S_VOS,2,S_NOUN_CONJ_COM_DIFF,0.1875
S_VOS,3,S_EXISTENTIAL_VERB,0.1875
S_VOS,4,S_COPULA_PRED_LOC,0.1875
S_VOS,5,S_PRED_NOUN_LOCATION_DIFF,0.1875
S_OVS,1,S_CONSTR_RAIN_FALLS,0.1875
S_OVS,2,S_IMPERATIVE_DECLARATIVE_NEG,0.1875
S_OVS,3,S_ARTICLE_WORD_BEFORE_NOUN,0.1875
S_OVS,4,S_COPULA_PRED_LOC,0.1875
S_OVS,5,S_NOUN_CONJ_COM_DIFF,0.1875
S_OSV,1,S_INTONATION_ONLY_POLAR,0.1875
S_OSV,2,S_HEADACHE_EXP_SUBJ,0.1875
S_OSV,3,INV_MID_CENTRAL_UNROUNDED_VOWEL,0.1875
S_OSV,4,M_PROD_PLURAL_MARK,0.1875
S_OSV,5,S_SAME_TAM_MARK_NEG_CLAUSE,0.1875
S_SUBJECT_BEFORE_VERB,1,S_SVO,0.1875
S_SUBJECT_BEFORE_VERB,2,P_CLICKS,0.1875
S_SUBJECT_BEFORE_VERB,3,S_XVO,0.1875
S_SUBJECT_BEFORE_VERB,4,S_OBLIQUE_BEFORE_OBJECT,0.1875
S_SUBJECT_BEFORE_VERB,5,S_XOV,0.1875
S_SUBJECT_AFTER_VERB,1,S_VSO,0.1875
S_SUBJECT_AFTER_VERB,2,S_VOS,0.1875
S_SUBJECT_AFTER_VERB,3,S_OVS,0.11249999701976776
S_SUBJECT_AFTER_VERB,4,P_CODAS,0.11249999701976776
S_SUBJECT_AFTER_VERB,5,S_NEGATIVE_WORD_BEFORE_VERB,0.051136363
S_OBJECT_AFTER_VERB,1,S_XVO,0.1875
S_OBJECT_AFTER_VERB,2,S_VOX,0.1875
S_OBJECT_AFTER_VERB,3,S_OBLIQUE_AFTER_VERB,0.1875
S_OBJECT_AFTER_VERB,4,S_NEGATIVE_WORD_FINAL,0.1875
S_OBJECT_AFTER_VERB,5,S_SVO,0.11249999701976776
S_OBJECT_BEFORE_VERB,1,S_XOV,0.1875
S_OBJECT_BEFORE_VERB,2,S_SOV,0.11249999701976776
S_OBJECT_BEFORE_VERB,3,S_OVS,0.11249999701976776
S_OBJECT_BEFORE_VERB,4,S_OSV,0.11249999701976776
S_OBJECT_BEFORE_VERB,5,S_NEGATIVE_WORD_AFTER_VERB,0.051136363
S_SUBJECT_BEFORE_OBJECT,1,S_SVO,0.1875
S_SUBJECT_BEFORE_OBJECT,2,P_LATERAL_OBSTRUENTS,0.1875
S_SUBJECT_BEFORE_OBJECT,3,P_PHARYNGEALS,0.1875
S_SUBJECT_BEFORE_OBJECT,4,P_UVULAR_CONTINUANTS,0.1875
S_SUBJECT_BEFORE_OBJECT,5,S_DEMONSTRATIVE_SUFFIX,0.1875
S_SUBJECT_AFTER_OBJECT,1,S_OBLIQUE_AFTER_VERB,0.1875
S_SUBJECT_AFTER_OBJECT,2,S_OBLIQUE_AFTER_OBJECT,0.1875
S_SUBJECT_AFTER_OBJECT,3,S_VOS,0.1875
S_SUBJECT_AFTER_OBJECT,4,S_OVS,0.1875
S_SUBJECT_AFTER_OBJECT,5,S_OSV,0.1875
P_VOICE,1,S_DEMONSTRATIVE_PREFIX,0.1875
P_VOICE,2,S_OBLIQUE_AFTER_OBJECT,0.1875
P_VOICE,3,INV_VOICELESS_VELAR_PLOSIVE_WITH_VOICELESS_VELAR_FRICATIVE,0.140625
P_VOICE,4,INV_VOW_VD_VLESS,0.140625
P_VOICE,5,INV_VOICELESS_ALVEOLAR_PLOSIVE_WITH_VOICELESS_DENTAL_FRICATIVE,0.140625
P_VOICED_PLOSIVES,1,S_DEMONSTRATIVE_PREFIX,0.1875
P_VOICED_PLOSIVES,2,INV_CLOSE_CLOSE_MID_HIGH_FRONT_ROUNDED_VOWEL,0.1875
P_VOICED_PLOSIVES,3,INV_VOICED_UVULAR_PLOSIVE,0.1875
P_VOICED_PLOSIVES,4,INV_VOICED_PALATAL_PLOSIVE,0.1875
P_VOICED_PLOSIVES,5,INV_VOICED_PALATAL_FRICATIVE,0.1875
P_VOICED_FRICATIVES,1,S_OBLIQUE_AFTER_OBJECT,0.1875
P_VOICED_FRICATIVES,2,INV_PLACE_NON_LOW_UNROUNDED,0.1875
P_VOICED_FRICATIVES,3,INV_VOICED_POSTALVEOLAR_FRICATIVE,0.1875
P_VOICED_FRICATIVES,4,INV_UVULAR_APPROXIMANT,0.1875
P_VOICED_FRICATIVES,5,INV_VOICED_PALATAL_FRICATIVE,0.1875
P_EJECTIVES,1,INV_PLACE_LABIOVELAR,0.1875
P_EJECTIVES,2,S_OBLIQUE_AFTER_OBJECT,0.1875
P_EJECTIVES,3,INV_PLACE_NON_LOW_UNROUNDED,0.1875
P_EJECTIVES,4,INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_ALVEOLAR_LATERAL_FRICATIVE,0.11249999701976776
P_EJECTIVES,5,INV_PLACE_ALVEOLAR,0.11249999701976776
P_IMPLOSIVES,1,S_OBLIQUE_AFTER_OBJECT,0.1875
P_IMPLOSIVES,2,P_BILABIALS,0.1875
P_IMPLOSIVES,3,P_FRICATIVES,0.1875
P_IMPLOSIVES,4,INV_VOICED_VELAR_IMPLOSIVE,0.1875
P_IMPLOSIVES,5,INV_VOICELESS_VELAR_PLOSIVE,0.1875
P_GLOTTALIZED_RESONANTS,1,P_NASALS,0.1875
P_GLOTTALIZED_RESONANTS,2,INV_PLACE_LABIOVELAR,0.1875
P_GLOTTALIZED_RESONANTS,3,INV_PLACE_NON_LOW_UNROUNDED,0.1875
P_GLOTTALIZED_RESONANTS,4,INV_PALATAL_APPROXIMANT,0.1875
P_GLOTTALIZED_RESONANTS,5,INV_VOICELESS_VELAR_PLOSIVE,0.1875
P_UVULARS,1,INV_PLACE_NON_LOW_UNROUNDED,0.1875
P_UVULARS,2,S_OBLIQUE_AFTER_OBJECT,0.1875
P_UVULARS,3,INV_VOICELESS_VELAR_PLOSIVE,0.1875
P_UVULARS,4,INV_VOICED_UVULAR_FRICATIVE,0.1875
P_UVULARS,5,P_UVULAR_STOPS,0.1875
P_UVULAR_STOPS,1,INV_PLACE_PALATALIZED_VELAR,0.1875
P_UVULAR_STOPS,2,INV_VOICED_UVULAR_PLOSIVE,0.1875
P_UVULAR_STOPS,3,P_UVULARS,0.1875
P_UVULAR_STOPS,4,S_OBLIQUE_AFTER_OBJECT,0.1875
P_UVULAR_STOPS,5,INV_VOICELESS_VELAR_PLOSIVE,0.1875
P_UVULAR_CONTINUANTS,1,INV_ALVEOLAR_NASAL,0.1875
P_UVULAR_CONTINUANTS,2,INV_VOICED_UVULAR_FRICATIVE,0.1875
P_UVULAR_CONTINUANTS,3,INV_PLACE_NON_LOW_UNROUNDED,0.1875
P_UVULAR_CONTINUANTS,4,P_UVULARS,0.1875
P_UVULAR_CONTINUANTS,5,S_OBLIQUE_AFTER_OBJECT,0.1875
P_LATERALS,1,S_DEMONSTRATIVE_SUFFIX,0.1875
P_LATERALS,2,INV_VOICED_UVULAR_FRICATIVE,0.1875
P_LATERALS,3,P_LATERAL_OBSTRUENTS,0.1875
P_LATERALS,4,P_LATERAL_L,0.1875
P_LATERALS,5,S_DEMONSTRATIVE_PREFIX,0.1875
P_LATERAL_L,1,S_DEMONSTRATIVE_PREFIX,0.1875
P_LATERAL_L,2,S_XVO,0.1875
P_LATERAL_L,3,S_XOV,0.1875
P_LATERAL_L,4,S_OBLIQUE_BEFORE_OBJECT,0.1875
P_LATERAL_L,5,P_LATERALS,0.1875
P_LATERAL_OBSTRUENTS,1,INV_PLACE_LABIOVELAR,0.1875
P_LATERAL_OBSTRUENTS,2,INV_PLACE_PALATALIZED_VELAR,0.1875
P_LATERAL_OBSTRUENTS,3,S_OBLIQUE_AFTER_OBJECT,0.1875
P_LATERAL_OBSTRUENTS,4,INV_PALATAL_LATERAL_APPROXIMANT,0.1875
P_LATERAL_OBSTRUENTS,5,P_LATERALS,0.1875
P_NASAL_VOWELS,1,S_FINGER_TOE_DIST,0.1875
P_NASAL_VOWELS,2,S_OVA,0.1875
P_NASAL_VOWELS,3,M_2ND_PERSON_GENDER_DIST,0.1875
P_NASAL_VOWELS,4,INV_PLACE_LABIOVELARIZED_ALVEOLAR,0.1875
P_NASAL_VOWELS,5,S_ALSO_FOLLOW_FOCUS,0.1875
P_FRONT_ROUND_VOWELS,1,P_BILABIALS,0.1875
P_FRONT_ROUND_VOWELS,2,INV_OPEN_MID_FRONT_ROUNDED_VOWEL,0.1875
P_FRONT_ROUND_VOWELS,3,INV_CLOSE_MID_FRONT_ROUNDED_VOWEL,0.1875
P_FRONT_ROUND_VOWELS,4,INV_CLOSE_MID_FRONT_UNROUNDED_VOWEL,0.1875
P_FRONT_ROUND_VOWELS,5,INV_HI_MINUS_HI,0.1875
P_BILABIALS,1,S_SVO,0.1875
P_BILABIALS,2,INV_OPEN_MID_BACK_UNROUNDED_VOWEL,0.1875
P_BILABIALS,3,INV_PALATAL_LATERAL_APPROXIMANT,0.1875
P_BILABIALS,4,INV_CLOSE_CLOSE_MID_HIGH_FRONT_ROUNDED_VOWEL,0.1875
P_BILABIALS,5,INV_VOICED_RETROFLEX_FRICATIVE,0.1875
P_FRICATIVES,1,INV_VOW_9,0.1875
P_FRICATIVES,2,INV_VOICED_PHARYNGEAL_FRICATIVE,0.1875
P_FRICATIVES,3,S_DEMONSTRATIVE_PREFIX,0.1875
P_FRICATIVES,4,INV_VOICED_POSTALVEOLAR_FRICATIVE,0.1875
P_FRICATIVES,5,INV_VOICED_RETROFLEX_FRICATIVE,0.1875
P_NASALS,1,S_INDEFINITE_AFFIX,0.1875
P_NASALS,2,S_CASE_PREFIX,0.1875
P_NASALS,3,INV_UVULAR_TRILL,0.1875
P_NASALS,4,INV_RETROFLEX_APPROXIMANT,0.1875
P_NASALS,5,INV_VOICED_ALVEOLAR_LATERAL_FLAP,0.1875
P_LABIAL_VELARS,1,S_OBLIQUE_AFTER_OBJECT,0.1875
P_LABIAL_VELARS,2,INV_VOICED_UVULAR_PLOSIVE,0.1875
P_LABIAL_VELARS,3,S_ADJECTIVE_WITHOUT_NOUN,0.1875
P_LABIAL_VELARS,4,INV_CLOSE_CLOSE_MID_HIGH_FRONT_ROUNDED_VOWEL,0.1875
P_LABIAL_VELARS,5,INV_VOICED_RETROFLEX_PLOSIVE,0.1875
P_CLICKS,1,S_GENDER_MARK,0.1875
P_CLICKS,2,S_PERFECTIVE_VS_IMPERFECTIVE_MARK,0.1875
P_CLICKS,3,S_POLARQ_WORD,0.1875
P_CLICKS,4,S_ADJECTIVE_WITHOUT_NOUN,0.1875
P_CLICKS,5,S_SUBJECT_BEFORE_OBJECT,0.1875
P_TH,1,P_FRICATIVES,0.1875
P_TH,2,INV_PLACE_NON_LOW_UNROUNDED,0.1875
P_TH,3,S_OBLIQUE_AFTER_OBJECT,0.1875
P_TH,4,INV_PLACE_LABIOVELAR,0.1875
P_TH,5,INV_VOICED_VELARIZED_LATERAL_APPROXIMANT,0.11249999701976776
P_PHARYNGEALS,1,INV_VOICED_PHARYNGEAL_FRICATIVE,0.22678571939468384
